date,ticker,asset_class,close,currency
2019-10-24,EUNL.DE,ETF,53.40800094604492,EUR
2019-10-25,EUNL.DE,ETF,53.6259994506836,EUR
2019-10-28,EUNL.DE,ETF,53.79999923706055,EUR
2019-10-29,EUNL.DE,ETF,53.79800033569336,EUR
2019-10-30,EUNL.DE,ETF,53.64400100708008,EUR
2019-10-31,EUNL.DE,ETF,53.400001525878906,EUR
2019-11-01,EUNL.DE,ETF,53.86800003051758,EUR
2019-11-04,EUNL.DE,ETF,54.37799835205078,EUR
2019-11-05,EUNL.DE,ETF,54.64599990844727,EUR
2019-11-06,EUNL.DE,ETF,54.63399887084961,EUR
2019-11-07,EUNL.DE,ETF,55.08399963378906,EUR
2019-11-08,EUNL.DE,ETF,54.97999954223633,EUR
2019-11-11,EUNL.DE,ETF,54.88199996948242,EUR
2019-11-12,EUNL.DE,ETF,55.25400161743164,EUR
2019-11-13,EUNL.DE,ETF,55.11800003051758,EUR
2019-11-14,EUNL.DE,ETF,54.99399948120117,EUR
2019-11-15,EUNL.DE,ETF,55.25199890136719,EUR
2019-11-18,EUNL.DE,ETF,55.20000076293945,EUR
2019-11-19,EUNL.DE,ETF,55.16999816894531,EUR
2019-11-20,EUNL.DE,ETF,55.11399841308594,EUR
2019-11-21,EUNL.DE,ETF,54.854000091552734,EUR
2019-11-22,EUNL.DE,ETF,55.11800003051758,EUR
2019-11-25,EUNL.DE,ETF,55.68600082397461,EUR
2019-11-26,EUNL.DE,ETF,55.7599983215332,EUR
2019-11-27,EUNL.DE,ETF,56.007999420166016,EUR
2019-11-29,EUNL.DE,ETF,55.75,EUR
2019-12-02,EUNL.DE,ETF,54.84000015258789,EUR
2019-12-03,EUNL.DE,ETF,54.38600158691406,EUR
2019-12-04,EUNL.DE,ETF,55.0359992980957,EUR
2019-12-05,EUNL.DE,ETF,54.86600112915039,EUR
2019-12-06,EUNL.DE,ETF,55.79399871826172,EUR
2019-12-09,EUNL.DE,ETF,55.57600021362305,EUR
2019-12-10,EUNL.DE,ETF,55.34400177001953,EUR
2019-12-11,EUNL.DE,ETF,55.38800048828125,EUR
2019-12-12,EUNL.DE,ETF,55.650001525878906,EUR
2019-12-13,EUNL.DE,ETF,55.762001037597656,EUR
2019-12-16,EUNL.DE,ETF,56.30799865722656,EUR
2019-12-17,EUNL.DE,ETF,56.13999938964844,EUR
2019-12-18,EUNL.DE,ETF,56.28799819946289,EUR
2019-12-19,EUNL.DE,ETF,56.35599899291992,EUR
2019-12-20,EUNL.DE,ETF,56.900001525878906,EUR
2019-12-23,EUNL.DE,ETF,56.84000015258789,EUR
2019-12-27,EUNL.DE,ETF,56.76399993896485,EUR
2019-12-30,EUNL.DE,ETF,56.608001708984375,EUR
2020-01-02,EUNL.DE,ETF,56.70000076293945,EUR
2020-01-03,EUNL.DE,ETF,56.68000030517578,EUR
2020-01-06,EUNL.DE,ETF,56.54999923706055,EUR
2020-01-07,EUNL.DE,ETF,56.902000427246094,EUR
2020-01-08,EUNL.DE,ETF,57.13600158691406,EUR
2020-01-09,EUNL.DE,ETF,57.49599838256836,EUR
2020-01-10,EUNL.DE,ETF,57.4379997253418,EUR
2020-01-13,EUNL.DE,ETF,57.369998931884766,EUR
2020-01-14,EUNL.DE,ETF,57.61600112915039,EUR
2020-01-15,EUNL.DE,ETF,57.59400177001953,EUR
2020-01-16,EUNL.DE,ETF,57.84600067138672,EUR
2020-01-17,EUNL.DE,ETF,58.305999755859375,EUR
2020-01-21,EUNL.DE,ETF,58.290000915527344,EUR
2020-01-22,EUNL.DE,ETF,58.39599990844727,EUR
2020-01-23,EUNL.DE,ETF,58.20600128173828,EUR
2020-01-24,EUNL.DE,ETF,58.470001220703125,EUR
2020-01-27,EUNL.DE,ETF,57.321998596191406,EUR
2020-01-28,EUNL.DE,ETF,57.8120002746582,EUR
2020-01-29,EUNL.DE,ETF,58.007999420166016,EUR
2020-01-30,EUNL.DE,ETF,57.34799957275391,EUR
2020-01-31,EUNL.DE,ETF,56.75199890136719,EUR
2020-02-03,EUNL.DE,ETF,57.02799987792969,EUR
2020-02-04,EUNL.DE,ETF,58.0880012512207,EUR
2020-02-05,EUNL.DE,ETF,58.57799911499024,EUR
2020-02-06,EUNL.DE,ETF,59.00600051879883,EUR
2020-02-07,EUNL.DE,ETF,58.99800109863281,EUR
2020-02-10,EUNL.DE,ETF,59.18000030517578,EUR
2020-02-11,EUNL.DE,ETF,59.59600067138672,EUR
2020-02-12,EUNL.DE,ETF,59.93999862670898,EUR
